A0 f*d (MHz*mm),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength/d (),A0 Wavenumber*d (rad),A0 Attenuation*d (Np/m*mm),A1 f*d (MHz*mm),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength/d (),A1 Wavenumber*d (rad),A1 Attenuation*d (Np/m*mm)
0.7362,2.120877295485,3.04292212411935,32.8631479614159,9.30706623072409,2.88084392214752,2.18102246320092,0,2.3448,7.11759127178535,3.60301567168953,27.7545281819737,2.76217980650877,3.03547904801491,2.06991555790463,0
0.7368,2.12140098510065,3.04316776126954,32.8604953275012,9.30474826996608,2.87920872027775,2.18226114103095,0,2.3454,7.11581612247229,3.60333584116531,27.7520620913482,2.76286940908798,3.03394564785209,2.07096172326878,0
0.7374,2.12192417697254,3.04341283519564,32.857849202562,9.30243367016996,2.87757550443794,2.18349971963875,0,2.346,7.1140430856835,3.60365519722726,27.74960270254,2.76355853493823,3.03241393251641,2.07200779544155,0
0.738,2.12244687282113,3.04365734754242,32.8552095658022,9.30012241955706,2.87594427211535,2.18473819819815,0,2.3466,7.11227215535409,3.60397374137475,27.7471500005588,2.76424718544691,3.03088389813095,2.07305377518889,0
0.7386,2.1229690731167,3.04390129938255,32.8525764026202,9.29781451189688,2.87431501911278,2.18597657716691,0,2.3472,7.1105033280948,3.60429147413719,27.7447039778986,2.76493536096474,3.02935554196268,2.07409966250076,0
0.7392,2.12349077770655,3.04414469150411,32.8499497015006,9.29550994372314,2.87268774040388,2.18721485764277,0,2.3478,7.1087365996369,3.60460839636528,27.7422646245943,2.76562306218736,3.02782886090676,2.075145457626,0
0.7398,2.12401198830507,3.04438752554095,32.8473294418164,9.2932087033356,2.8710624335024,2.18845303879887,0,2.3484,7.10697196483636,3.60492450923041,27.7398319282276,2.76631029015458,3.02630385148883,2.07619116107211,0
0.7404,2.1245327047587,3.04462980227678,32.8447156121312,9.29091078729926,2.86943909340721,2.18969112173029,0,2.349,7.10520942032859,3.60523981325811,27.7374058813659,2.76699704521657,3.02478051099557,2.07723677283002,0
0.741,2.12505292877739,3.04487152333776,32.8421081919348,9.28861618396889,2.86781771764829,2.19092910560996,0,2.3496,7.10344896099013,3.60555430961644,27.7349864716469,2.7676833284118,3.02325883596788,2.07828229340742,0
0.7416,2.12557265958652,3.04511268922289,32.8395071728921,9.28632489267387,2.86619830041332,2.19216699216991,0,2.3502,7.10169058435413,3.60586799850669,27.73257369416,2.76836913974621,3.02173882408056,2.07932772253783,0
0.7422,2.12609189889283,3.04535330155209,32.836912534593,9.28403690181437,2.864580839252,2.19340478058223,0,2.3508,7.09993428443513,3.60618088141524,27.7301675341241,2.76905448060087,3.02022047151401,2.08037306098713,0
0.7428,2.12661064716113,3.04559336138093,32.8343242627303,9.28175220528254,2.86296533004998,2.19464247129737,0,2.3514,7.09818005702176,3.6064929591837,27.7277679817332,2.76973935166858,3.01870377520701,2.0814183090054,0
0.7434,2.12712890547418,3.04583287004164,32.8317423400296,9.27947079426364,2.8613517695375,2.19588006412619,0,2.352,7.09642789879006,3.60680423233117,27.7253750296748,2.77042375329858,3.01718873247877,2.08246346658522,0
0.744,2.12764667367692,3.04607182830625,32.8291667552712,9.2771926654059,2.85974015279156,2.19711756015532,0,2.3526,7.09467780554482,3.60711470169651,27.7229886681917,2.77110768618309,3.01567534028089,2.08350853397712,0
0.7446,2.12816395223285,3.04631023722429,32.8265974942582,9.27491781264529,2.85813047573577,2.1983549598316,0,2.3532,7.09292977309991,3.60742436811712,27.7206088875522,2.77179115101395,3.01416359557195,2.08455351143186,0
0.7452,2.12868074283832,3.04654809839738,32.8240345368597,9.27264622451263,2.85652273596124,2.19959226232633,0,2.3538,7.09118379640304,3.6077332327495,27.7182356755876,2.77247414882499,3.01265349494563,2.08559839945781,0
0.7458,2.1291970459536,3.0467854128683,32.8214778689839,9.27037789499111,2.85491692940949,2.20082946808515,0,2.3544,7.0894398721624,3.60804129610759,27.7158690250806,2.77315667996465,3.01114503574686,2.0866431980488,0
0.7464,2.12971286142307,3.04702218140186,32.8189274795474,9.26811282078037,2.85331305120989,2.20206657818893,0,2.355,7.08769799621897,3.60834855902442,27.7135089263762,2.77383874512348,3.00963821495498,2.08768790745621,0
0.747,2.13022819093709,3.04725840558911,32.8163833485817,9.26585099048685,2.85171109897871,2.20330359180837,0,2.3556,7.08595816442272,3.60865502233158,27.7111553698445,2.77452034499155,3.00813302955626,2.0887325279316,0
0.7476,2.13074303433919,3.04749408619058,32.813845465079,9.26359240084012,2.85011106786944,2.20454051002177,0,2.3562,7.08422037176149,3.60896068717901,27.7088083434254,2.77520148060007,3.00662947617413,2.08977705998373,0
0.7482,2.13125739270165,3.0477292245155,32.8113138121373,9.26133704319015,2.84851295469346,2.20577733263486,0,2.3568,7.08248461497525,3.60926555407558,27.7064678399959,2.77588215229667,3.00512755217891,2.09082150360768,0
0.7488,2.13177126709459,3.04796382186921,32.8087883729123,9.25908490891393,2.84691675626949,2.20701405945318,0,2.3574,7.08075088994083,3.60956962384853,27.7041338500017,2.77656236077018,3.00362725457743,2.09186585905565,0
0.7494,2.13228465736081,3.04819787900658,32.8062691365005,9.25683599478102,2.84532246778864,2.2082506915509,0,2.358,7.07901919254391,3.60987289732365,27.7018063639137,2.77724210670896,3.00212858038334,2.09291012658002,0
0.75,2.1327975639564,3.0484313969552,32.8037560890762,9.25459029488327,2.8437300852752,2.20948722936605,0,2.3586,7.07728951781204,3.61017537564441,27.6994853697793,2.77792139114153,3.00063152624949,2.09395430668989,0
0.7506,2.1333099885599,3.04866437728516,32.8012492109906,9.25234779797631,2.84213960639475,2.21072367206824,0,2.3592,7.07556186338271,3.6104770589957,27.6971708630151,2.77860021407439,2.99913608993842,2.0949983991252,0
0.7512,2.1338219310134,3.04889682074573,32.7987484914432,9.25010850086922,2.84055102637567,2.21196002072755,0,2.3598,7.07383622343615,3.61077794883668,27.6948628292742,2.77927857687515,2.99764226774987,2.09604240465156,0
0.7518,2.13433339238084,3.04912872862846,32.7962539138127,9.24787239503725,2.83896434208678,2.21319627514629,0,2.3604,7.07211259562343,3.61107804535008,27.692561264016,2.77995647955038,2.99615005745782,2.09708632300972,0
0.7524,2.13484437311431,3.04936010195046,32.7937654644452,9.24563947464594,2.83737954959371,2.214432435759,0,2.361,7.07039097414641,3.6113773499915,27.69026615295,2.78063392346587,2.99465945537756,2.09813015496529,0
0.753,2.13535487427461,3.04959094199702,32.7912831268167,9.24340973121473,2.83579664578301,2.21566850236706,0,2.3616,7.06867135666969,3.61167586294153,27.6879774915778,2.78131090862825,2.99317045929442,2.09917390025984,0
0.7536,2.13586489570327,3.04982124951041,32.7888068902573,9.24118316160174,2.83421562593322,2.21690447603496,0,2.3622,7.06695373741667,3.61197358565222,27.6856952656654,2.78198743640153,2.99168306553919,2.10021755965891,0
0.7542,2.1363744390671,3.05005102604011,32.7863367354317,9.23895975470913,2.83263648775802,2.21814035593131,0,2.3628,7.06523811406537,3.61227051830201,27.6834194707561,2.78266350679236,2.99019727190849,2.10126113290491,0
0.7548,2.13688350420678,3.05028027232429,32.7838726517418,9.23673950742367,2.83105922655907,2.21937614311811,0,2.3634,7.0635244817196,3.61256666202171,27.6811500951062,2.78333912082423,2.98871307511196,2.10230462050768,0
